Date,,2B76.DE,2B77.DE,2B78.DE,AASI.PA,AGGH.AS,CEUU.AS,CNDX.AS,CSPX.AS,DTLA.L,EACW.MI,EMIM.AS,ESP0.DE,EUEA.AS,EUNY.DE,EX37.VI,GMVM.DE,H2OA.AS,IBC0.F,IBC9.F,IBTA.L,IEAC.AS,IEVD.DE,IGILN.MX,IGLN.L,IPRP.AS,IPRV.AS,IQQH.DE,IS3R.DE,ISFA.AS,ISPY.AS,IUFS.L,IUS7.F,IUSA.AS,IWDP.AS,LEER.F,LQDAN.MX,NAN,QBIT.SW,QDVE.DE,SBIO.AS,SXR1.DE,UC15.L,UEF5.AS,UIMM.AS,VHYL.AS,WDSC.L,XMK9.DE
2000-07-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,
2000-08-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25,,,,,,,,,,
2000-09-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3125,,,,,,,,,,
2000-10-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,
2000-11-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25,,,,,,,,,,
2000-12-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,
2001-01-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.829999923706055,,,,,,,,,,
2001-02-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.550000190734863,,,,,,,,,,
2001-03-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.880000114440918,,,,,,,,,,
2001-04-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3100004196167,,,,,,,,,,
2001-05-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.210000038146973,,,,,,,,,,
2001-06-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8100004196167,,,,,,,,,,
2001-07-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6899995803833,,,,,,,,,,
2001-08-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.100000381469727,,,,,,,,,,
2001-09-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4399995803833,,,,,,,,,,
2001-10-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.59000015258789,,,,,,,,,,
2001-11-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.800000190734863,,,,,,,,,,
2001-12-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.229999542236328,,,,,,,,,,
2002-01-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.520000457763672,,,,,,,,,,
2002-02-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.869999885559082,,,,,,,,,,
2002-03-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.800000190734863,,,,,,,,,,
2002-04-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.199999809265137,,,,,,,,,,
2002-05-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.539999961853027,,,,,,,,,,
2002-06-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.819999694824219,,,,,,,,,,
2002-07-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75,,,,,,,,,,
2002-08-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.789999961853027,,,,,,,,,,
2002-09-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.470000267028809,,,,,,,,,,
2002-10-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.779999732971191,,,,,,,,,,
2002-11-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.25,,,,,,,,,,
2002-12-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.920000076293945,,,,,,,,,,
2003-01-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.630000114440918,,,,,,,,,,
2003-02-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.890000343322754,,,,,,,,,,
2003-03-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.850000381469727,,,,,,,,,,
2003-04-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.079999923706055,,,,,,,,,,
2003-05-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8100004196167,,,,,,,,,,
2003-06-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.399999618530273,,,,,,,,,,
2003-07-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.989999771118164,,,,,,,,,,
2003-08-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.760000228881836,,,,,,,,,,
2003-09-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.09000015258789,,,,,,,,,,
2003-10-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1899995803833,,,,,,,,,,
2003-11-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.529999732971191,,,,,,,,,,
2003-12-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.979999542236328,,,,,,,,,,
2004-01-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.049999237060547,,,,,,,,,,
2004-02-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.549999237060547,,,,,,,,,,
2004-03-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.209999084472656,,,,,,,,,,
2004-04-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.829999923706055,,,,,,,,,,
2004-05-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1899995803833,,,,,,,,,,
2004-06-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.25,,,,,,,,,,
2004-07-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75,,,,,,,,,,
2004-08-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.989999771118164,,,,,,,,,,
2004-09-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.010000228881836,,,,,,,,,,
2004-10-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.319999694824219,,,,,,,,,,
2004-11-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.350000381469727,,,,,,,,,,
2004-12-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.550000190734863,,,,,,,,,,
2005-01-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.770000457763672,,,,,,,,,,
2005-02-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.609999656677246,,,,,,,,,,
2005-03-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.930000305175781,,,,,,,,,,
2005-04-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.729999542236328,,,,,,,,,,
2005-05-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.930000305175781,,,,,,,,,,
2005-06-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.149999618530273,,,,,,,,,,
2005-07-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.489999771118164,,,,,,,,,,
2005-08-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.299999237060547,,,,,,,,,,
2005-09-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.110000610351562,,,,,,,,,,
2005-10-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9399995803833,,,,,,,,,,
2005-11-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.049999237060547,,,,,,,,,,
2005-12-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.59000015258789,,,,,,,,,,
2006-01-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.65999984741211,,,,,,,,,,
2006-02-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.610000610351562,,,,,,,,,,
2006-03-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.020000457763672,,,,,,,,,,
2006-04-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.819999694824219,,,,,,,,,,
2006-05-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.149999618530273,,,,,,,,,,
2006-06-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.399999618530273,,,,,,,,,,
2006-07-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.600000381469727,,,,,,,,,,
2006-08-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.789999961853027,,,,,,,,,,
2006-09-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.600000381469727,,,,,,,,,,
2006-10-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.510000228881836,,,,,,,,,,
2006-11-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.859999656677246,,,,,,,,,,
2006-12-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.65999984741211,,,,,,,,,,
2007-01-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.850000381469727,,,,,,,,,,
